classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
99457319,aarozoon,562290,ffb214cd0eb405d14c5b,4500,Periodic vs Non-Periodic,29.25,2018-03-29 20:04:21 UTC,,,"{""session"":""efff85d2d3696d81925b021b49a03d36ef0748e27befb001b05667edc34272a4"",""viewport"":{""width"":1530,""height"":722},""started_at"":""2018-03-29T20:04:19.569Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-29T20:04:21.102Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""20684038"":{""retired"":null,""Filename"":""figs_vp03_vc_01___33762090004305.png""}}",20684038
99457321,aarozoon,562290,ffb214cd0eb405d14c5b,4500,Periodic vs Non-Periodic,29.25,2018-03-29 20:04:22 UTC,,,"{""session"":""efff85d2d3696d81925b021b49a03d36ef0748e27befb001b05667edc34272a4"",""viewport"":{""width"":1530,""height"":722},""started_at"":""2018-03-29T20:04:21.118Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-29T20:04:22.535Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""20684045"":{""retired"":null,""Filename"":""figs_vp03_vc_01___35782020009343.png""}}",20684045
99457325,aarozoon,562290,ffb214cd0eb405d14c5b,4500,Periodic vs Non-Periodic,29.25,2018-03-29 20:04:24 UTC,,,"{""session"":""efff85d2d3696d81925b021b49a03d36ef0748e27befb001b05667edc34272a4"",""viewport"":{""width"":1530,""height"":722},""started_at"":""2018-03-29T20:04:22.548Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-29T20:04:24.031Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""20684051"":{""retired"":null,""Filename"":""figs_vp03_vc_01___34782080003365.png""}}",20684051
99457336,aarozoon,562290,ffb214cd0eb405d14c5b,4500,Periodic vs Non-Periodic,29.25,2018-03-29 20:04:25 UTC,,,"{""session"":""efff85d2d3696d81925b021b49a03d36ef0748e27befb001b05667edc34272a4"",""viewport"":{""width"":1530,""height"":722},""started_at"":""2018-03-29T20:04:24.045Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-29T20:04:25.539Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""20684052"":{""retired"":null,""Filename"":""figs_vp03_vc_01___34782080007372.png""}}",20684052
99457347,aarozoon,562290,ffb214cd0eb405d14c5b,4500,Periodic vs Non-Periodic,29.25,2018-03-29 20:04:29 UTC,,,"{""session"":""efff85d2d3696d81925b021b49a03d36ef0748e27befb001b05667edc34272a4"",""viewport"":{""width"":1530,""height"":722},""started_at"":""2018-03-29T20:04:25.552Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-29T20:04:29.319Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Periodic""}]","{""20684076"":{""retired"":null,""Filename"":""figs_vp03_vc_01_1100052040007828.png""}}",20684076
99457356,aarozoon,562290,ffb214cd0eb405d14c5b,4500,Periodic vs Non-Periodic,29.25,2018-03-29 20:04:32 UTC,,,"{""session"":""efff85d2d3696d81925b021b49a03d36ef0748e27befb001b05667edc34272a4"",""viewport"":{""width"":1530,""height"":722},""started_at"":""2018-03-29T20:04:29.334Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-29T20:04:32.479Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""20684084"":{""retired"":null,""Filename"":""figs_vp03_vc_01_1000202110003642.png""}}",20684084
99457397,aarozoon,562290,ffb214cd0eb405d14c5b,4500,Periodic vs Non-Periodic,29.25,2018-03-29 20:04:46 UTC,,,"{""session"":""efff85d2d3696d81925b021b49a03d36ef0748e27befb001b05667edc34272a4"",""viewport"":{""width"":1530,""height"":722},""started_at"":""2018-03-29T20:04:32.499Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"",""utc_offset"":""18000"",""finished_at"":""2018-03-29T20:04:45.859Z"",""seen_before"":true,""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Periodic""}]","{""20684076"":{""retired"":null,""Filename"":""figs_vp03_vc_01_1100052040007828.png""}}",20684076
99546929,knowledgewithin,1665115,5b952a9d8758b59c23f3,4500,Periodic vs Non-Periodic,29.25,2018-03-30 13:55:37 UTC,,,"{""session"":""420610f39d35945b93db9166a2860b40f46f72c3e4bb840a092e3ee80092629c"",""viewport"":{""width"":1550,""height"":898},""started_at"":""2018-03-30T13:55:33.504Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"",""utc_offset"":""14400"",""finished_at"":""2018-03-30T13:55:38.470Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Periodic""}]","{""20683997"":{""retired"":null,""Filename"":""figs_vp03_vc_01_1010032010002194.png""}}",20683997
99546937,knowledgewithin,1665115,5b952a9d8758b59c23f3,4500,Periodic vs Non-Periodic,29.25,2018-03-30 13:55:40 UTC,,,"{""session"":""420610f39d35945b93db9166a2860b40f46f72c3e4bb840a092e3ee80092629c"",""viewport"":{""width"":1550,""height"":898},""started_at"":""2018-03-30T13:55:38.526Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"",""utc_offset"":""14400"",""finished_at"":""2018-03-30T13:55:41.476Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""20684004"":{""retired"":null,""Filename"":""figs_vp03_vc_01_1000132100004394.png""}}",20684004
99546941,knowledgewithin,1665115,5b952a9d8758b59c23f3,4500,Periodic vs Non-Periodic,29.25,2018-03-30 13:55:43 UTC,,,"{""session"":""420610f39d35945b93db9166a2860b40f46f72c3e4bb840a092e3ee80092629c"",""viewport"":{""width"":1550,""height"":898},""started_at"":""2018-03-30T13:55:41.518Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"",""utc_offset"":""14400"",""finished_at"":""2018-03-30T13:55:44.114Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""20684023"":{""retired"":null,""Filename"":""figs_vp03_vc_01___32752090004203.png""}}",20684023
99546955,knowledgewithin,1665115,5b952a9d8758b59c23f3,4500,Periodic vs Non-Periodic,29.25,2018-03-30 13:55:53 UTC,,,"{""session"":""420610f39d35945b93db9166a2860b40f46f72c3e4bb840a092e3ee80092629c"",""viewport"":{""width"":1550,""height"":898},""started_at"":""2018-03-30T13:55:44.142Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"",""utc_offset"":""14400"",""finished_at"":""2018-03-30T13:55:54.850Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""20684032"":{""retired"":null,""Filename"":""figs_vp03_vc_01_1000492110016832.png""}}",20684032
99546962,knowledgewithin,1665115,5b952a9d8758b59c23f3,4500,Periodic vs Non-Periodic,29.25,2018-03-30 13:55:56 UTC,,,"{""session"":""420610f39d35945b93db9166a2860b40f46f72c3e4bb840a092e3ee80092629c"",""viewport"":{""width"":1550,""height"":898},""started_at"":""2018-03-30T13:55:54.916Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"",""utc_offset"":""14400"",""finished_at"":""2018-03-30T13:55:57.602Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""20684036"":{""retired"":null,""Filename"":""figs_vp03_vc_01_1000132050001344.png""}}",20684036
99546967,knowledgewithin,1665115,5b952a9d8758b59c23f3,4500,Periodic vs Non-Periodic,29.25,2018-03-30 13:55:59 UTC,,,"{""session"":""420610f39d35945b93db9166a2860b40f46f72c3e4bb840a092e3ee80092629c"",""viewport"":{""width"":1550,""height"":898},""started_at"":""2018-03-30T13:55:57.662Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"",""utc_offset"":""14400"",""finished_at"":""2018-03-30T13:56:00.336Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""20684038"":{""retired"":null,""Filename"":""figs_vp03_vc_01___33762090004305.png""}}",20684038
99546972,knowledgewithin,1665115,5b952a9d8758b59c23f3,4500,Periodic vs Non-Periodic,29.25,2018-03-30 13:56:02 UTC,,,"{""session"":""420610f39d35945b93db9166a2860b40f46f72c3e4bb840a092e3ee80092629c"",""viewport"":{""width"":1550,""height"":898},""started_at"":""2018-03-30T13:56:00.380Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"",""utc_offset"":""14400"",""finished_at"":""2018-03-30T13:56:03.218Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}]}","[{""task"":""T0"",""task_label"":""Is this source periodic or nonperiodic?"",""value"":""Non-periodic""}]","{""20684044"":{""retired"":null,""Filename"":""figs_vp03_vc_01_1000202110001323.png""}}",20684044
